,nSamp,CV,Mean,Std,Total,Feas,MeanP1,MeanP2,MeanP3
0,2,12.2465,0.35,0.0429,3888,851,0.40749271445358387,0.25430082256169206,0.33820564042303164
1,4,8.2573,0.3796,0.0313,7776,1427,0.2665637000700774,0.19349761737911675,0.539938472319551
2,8,3.4745,0.3952,0.0137,15552,3500,0.3215843999999997,0.24088688571428504,0.4375287428571439
3,12,2.3538,0.3996,0.0094,23328,5485,0.3360410027347313,0.24908459434822297,0.41487263445761147
4,16,1.6087,0.4012,0.0065,31104,6484,0.33615976249228796,0.24551588525601534,0.4183236273905005
5,20,0.0,0.4024,0.0,38880,8132,0.33991747417609386,0.24539413428430928,0.414687518445647
