,nSamp,CV,Mean,Std,Total,Feas,MeanP1,MeanP2,MeanP3
0,2,10.0619,0.3742,0.0376,3240,575,0.34159026086956523,0.2471462608695651,0.4112627826086959
1,4,6.3327,0.3751,0.0238,6480,1655,0.41066833836858013,0.26384066465256806,0.32548960725075526
2,8,3.9489,0.3963,0.0157,12960,2393,0.3216955286251563,0.27777856247388283,0.4005251984956117
3,12,2.8056,0.4009,0.0112,19440,4030,0.36079032258064553,0.20619421836228227,0.4330136972704715
4,16,1.902,0.4001,0.0076,25920,4796,0.35157251876563755,0.23813233944954124,0.4102941826522094
5,20,0.9651,0.4006,0.0039,32400,6496,0.3504971059113299,0.24321039100985248,0.40629154864532024
6,24,0.0,0.4024,0.0,38880,8132,0.33991747417609386,0.24539413428430928,0.414687518445647
