,nSamp,CV,Mean,Std,Total,Feas,MeanP1,MeanP2,MeanP3
0,2,13.6022,0.3463,0.0471,162,859,0.37166286379511043,0.2788880093131546,0.34945005820721803
1,4,7.5992,0.3814,0.029,324,1527,0.30834237066142745,0.23541218074656173,0.45624092992796356
2,8,4.0347,0.3928,0.0158,648,2821,0.3696749025168374,0.2666557603686643,0.3636680255228643
3,12,2.3799,0.4001,0.0095,972,4713,0.33456779121578595,0.23088086144706121,0.43455041374920467
4,16,1.2213,0.401,0.0049,1296,6539,0.33759548860682026,0.2435095580363978,0.4188944639853198
5,20,0.0,0.4024,0.0,1620,8132,0.33991747417609386,0.24539413428430928,0.414687518445647
