,nSamp,CV,Mean,Std,Total,Feas,MeanP1,MeanP2,MeanP3
0,2,15.1352,0.3603,0.0545,3240,473,0.35322494714587743,0.24430570824524317,0.40247124735729434
1,4,8.1691,0.3817,0.0312,6480,2119,0.40343109957527123,0.20300622935346874,0.39355950920245397
2,8,3.5203,0.3949,0.0139,12960,3584,0.3519588448660724,0.2231275111607138,0.4249129185267856
3,12,2.2865,0.4029,0.0092,19440,3196,0.30166185857321653,0.23655838548185223,0.46177881727158915
4,16,1.9065,0.4004,0.0076,25920,5557,0.361001943494691,0.2516640813388528,0.3873330574050744
5,20,1.093,0.4022,0.0044,32400,6984,0.3450013888888887,0.2515783218785802,0.4034191294387185
6,24,0.0,0.4024,0.0,38880,8132,0.33991747417609386,0.24539413428430928,0.414687518445647
